# AUTHOR: CALIFA collaboration
# SOURCE: Own analysis of SDSSS imaging 
# DATE: 2014-09-09
# VERSION: 1.0 
# COLAPRV: CJW
# PUBAPRV: None 
# COLUMN1: CALIFAID, int, , ID of the CALIFA galaxy 
# COLUMN2: REALNAME, string , Galaxy name 
# COLUMN3: DBName, string, , Name in CALIFA database 
# COLUMN4: ra, float, degrees, right ascension J2000.0 
# COLUMN5: de, float, degrees, declination J2000.0
# COLUMN6: hubtyp, string, , Hubble type S or E
# COLUMN7: hubsubtyp, string, , Hubble subtype 0-7 or a-d
# COLUMN8: minhubtyp, string, , Minimum Hubble type 
# COLUMN9: minhubsubtyp, string, , Minimum Hubble subtype 
# COLUMN10: maxhubtyp, string, , Maximum Hubble type
# COLUMN11: maxhubsubtyp, string, , Maximum Hubble subtype
# COLUMN12: bar, String, Barredness A or AB or B
# COLUMN13: minbar, String, , Minimum barredness
# COLUMN14: maxbar, String, , Maximum barredness 
# COLUMN15: merg, string, , Merging (M) or Isolated (I)
# COLUMN16: minmerg , String, , Min Merging (M) or Isolated (I)
# COLUMN17: maxmerg , String, , Max Merging (M) or Isolated (I)
    103, UGC02222, UGC02222,      41.2903214,      32.9897003, S, 0a, E, 5, S, b, AB, A, B, M, M, M
    104, UGC02229, UGC02229,      41.3648605,       0.9143500, S, 0a, S, 0, S, ab, A, A, AB, M, M, M
    105, UGC02239, UGC02239,      41.6486816,      32.4493904, S, ab, S, 0, S, cd, AB, A, B, I, I, I
    106, MCG-01-08-008, MCG-01-08-008,      41.7782211,      -2.9725499, S, b, S, a, S, bc, A, A, AB, I, I, I
    107, NGC1094, NGC1094,      41.8659706,      -0.2851300, S, b, S, ab, S, bc, AB, A, B, I, I, I
    108, NGC1093, NGC1093,      42.0672302,      34.4198189, S, bc, S, b, S, c, B, B, B, I, I, I
    109, UGC02311, UGC02311,      42.3664589,      -0.8729900, S, bc, S, ab, S, c, B, B, B, I, I, I
    110, UGC02319, UGC02319,      42.4733315,      -1.0036300, S, bc, S, a, S, cd, A, A, AB, I, I, I
    111, MCG-02-08-014, MCG-02-08-014,      43.0974808,      -8.5104198, S, a, S, 0, S, a, A, A, AB, I, I, I
    112, NGC1132, NGC1132,      43.2159882,      -1.2747600, E, 6, E, 3, S, 0, A, A, A, I, I, I
    113, UGC02367, UGC02367,      43.4217415,       6.2655702, S, ab, S, 0, S, cd, A, A, B, I, I, I
    114, NGC1142, NGC1142,      43.8009415,      -0.1835600, S, d, S, 0, I, r, A, A, AB, M, M, M
    115, UGC02403, UGC02403,      43.9885712,       0.6926100, S, b, S, a, S, c, B, B, B, I, I, I
    116, UGC02405, UGC02405,      43.9898911,       6.4947801, S, bc, S, bc, S, c, A, A, AB, I, I, I
    117, UGC02443, UGC02443,      44.5895996,      -2.0418799, S, cd, S, c, S, d, A, A, A, I, I, I
    118, UGC02465, UGC02465,      45.1559410,      35.1691513, S, 0, S, 0, S, a, A, A, AB, I, I, I
    119, NGC1167, NGC1167,      45.4263992,      35.2056198, S, 0, E, 7, S, a, A, A, A, I, I, I
    120, NGC1194, NGC1194,      45.9546204,      -1.1037400, S, 0a, S, 0, S, a, A, A, AB, I, I, I
    121, NGC1211, NGC1211,      46.7184296,      -0.7944900, S, 0a, S, 0, S, a, B, B, B, I, I, I
    122, MCG-01-09-006, MCG-01-09-006,      47.2013512,      -7.0406098, S, bc, S, b, S, cd, AB, A, B, I, I, I
    123, IC0307, IC0307,      48.4384003,      -0.2414600, S, ab, S, a, S, b, B, AB, B, I, I, I
    124, UGC02628, UGC02628,      49.1326714,      -0.4681400, S, bc, S, b, S, c, AB, A, B, I, I, I
    125, UGC02690, UGC02690,      50.1789284,      -1.1086400, S, cd, S, c, S, d, AB, A, B, I, I, I
